mode_confidence,key_confidence,tempo,energy,tempo_confidence,time_signature,valence,name,echoprint_version,mode,explicit,track_number,code_version,speechiness,duration,popularity,artist_names,start_of_fade_out,liveness,acousticness,instrumentalness,time_signature_confidence,key,danceability,end_of_fade_in,num_samples,loudness
0.39,0.429,122.087,0.798,0.334,4,0.707,Say It With Me,4.12,0,0,6,3.15,0.0931,181.84,41,Chris Brown,172.85515,0.0887,0.000345,0.0,1.0,6,0.453,0.34834,4009572,-6.234
0.474,0.436,81.984,0.693,0.503,4,0.44,Got A Check (feat. ALLBLACK & Offset Jim),4.12,0,1,5,3.15,0.277,223.3888,47,G-Eazy,211.02875,0.114,0.162,0.0,1.0,10,0.862,0.19855,4925723,-4.096
0.196,0.0,141.058,0.711,0.682,4,0.507,She's Only 18,4.12,0,0,6,3.15,0.0788,205.26666,59,Red Hot Chili Peppers,196.49306,0.334,0.0633,1.68e-06,0.505,2,0.567,0.25043,4526130,-3.744
0.806,0.733,88.388,0.0279,0.078,4,0.354,Dead Inside (Interlude),4.12,1,1,7,3.15,0.0412,86.82667,66,XXXTENTACION,79.67347,0.169,0.973,0.00226,0.512,0,0.461,0.0,1914528,-21.992
0.434,0.311,142.803,0.498,0.063,4,0.34,Awake,4.12,1,0,9,3.15,0.0332,226.16068,71,BTS,218.25597,0.269,0.023,1.99e-06,0.963,3,0.35,0.12807,4986843,-6.589
0.485,0.697,149.958,0.834,0.146,4,0.469,Bleed Out,4.12,0,0,18,3.15,0.0518,248.68,9,Jason Derulo,242.86331,0.358,0.0197,0.0,1.0,5,0.533,0.28454,5483394,-4.653
0.286,0.387,76.151,0.154,0.01,3,0.404,Screen - Bonus Commentary,4.12,1,0,7,3.15,0.949,69.07329,23,Twenty One Pilots,64.05805,0.608,0.729,0.0,0.392,0,0.738,1.07977,1523066,-28.251
0.605,0.461,117.956,0.755,0.935,4,0.909,This Is the Industry,4.12,1,0,3,3.15,0.0426,236.16,11,Calvin Harris,236.16,0.346,0.00656,0.529,1.0,7,0.836,0.15673,5207328,-5.757
0.478,0.347,127.956,0.583,0.406,4,0.335,Angel,4.12,0,1,14,3.15,0.0435,377.62668,10,The Weeknd,366.6605,0.115,0.105,0.0,1.0,10,0.626,5.54957,8326668,-7.574
0.664,0.615,176.036,0.647,0.208,4,0.77,Vestido,4.12,0,0,10,3.15,0.166,186.4639,41,J Balvin,183.17061,0.107,0.317,1.52e-05,1.0,5,0.792,0.0,4111529,-6.42
0.394,0.23,125.986,0.749,0.866,4,0.501,Young Girls,4.12,0,0,1,3.15,0.032,228.72,69,Bruno Mars,223.93906,0.205,0.461,1.82e-06,0.709,6,0.561,0.11029,5043276,-4.951
0.345,0.163,130.201,0.568,0.35,3,0.214,You Are My Life,4.12,0,0,10,3.15,0.0349,273.0,45,Michael Jackson,262.78024,0.188,0.155,0.0,1.0,6,0.619,0.11075,6019650,-5.058
0.166,0.0,121.889,0.373,0.463,4,0.346,Tumblr Girls (feat. Christoph Andersson),4.12,1,1,15,3.15,0.26,255.68,44,G-Eazy,251.25153,0.128,0.101,0.000105,1.0,8,0.49,0.11329,5637744,-9.762
0.576,0.527,117.817,0.607,0.32,4,0.374,Family,4.12,1,0,2,3.15,0.0356,194.82668,18,The Chainsmokers,188.30803,0.101,0.426,0.0,0.936,11,0.584,0.07556,4295928,-6.605
0.359,0.104,126.734,0.891,0.805,4,0.483,Run the World (Girls) - Homecoming Live,4.12,0,0,30,3.15,0.172,233.37614,25,Beyoncé,225.15228,0.767,0.00258,0.000214,0.849,5,0.651,0.0,5145944,-8.708
0.673,0.698,99.969,0.984,0.548,4,0.273,Hips Don't Lie - Live Version,4.12,0,0,18,3.15,0.0956,414.29333,40,Shakira,408.65378,0.767,0.053,0.000296,0.983,10,0.603,2.49034,9135168,-3.389
0.41,0.314,109.613,0.66,0.208,3,0.53,30 (feat. Bizzy Banks),4.12,0,0,8,3.15,0.171,228.25175,28,Pop Smoke,228.25174,0.506,0.0904,0.0,0.857,10,0.52,0.0,5032951,-5.998
0.574,0.783,99.063,0.625,0.152,4,0.426,Pressed (feat. Honey Cocaine),4.12,1,1,7,3.15,0.15,235.15152,35,Tyga,232.51302,0.0944,0.107,0.0,1.0,0,0.872,0.15683,5185091,-6.23
0.807,0.689,139.959,0.544,0.738,4,0.641,Gorilla,4.12,1,1,3,3.15,0.0371,244.49333,18,Bruno Mars,231.49715,0.0973,0.445,5.16e-06,0.879,7,0.717,0.0,5391078,-6.598
0.199,0.0,154.791,0.762,0.175,4,0.574,Visions,4.12,1,0,12,3.15,0.0581,230.72789,43,Maroon 5,225.41933,0.127,0.0536,0.0,1.0,0,0.594,0.17483,5087550,-5.457
0.448,0.205,127.963,0.717,0.42,4,0.549,DEAD RIGHT NOW,4.12,0,1,2,3.15,0.0411,221.20335,35,Lil Nas X,216.53769,0.266,0.101,1.87e-05,1.0,0,0.685,2.54259,4877534,-6.456
0.835,0.722,114.993,0.813,0.921,4,0.859,Future Nostalgia,4.12,1,0,1,3.15,0.0579,184.88194,69,Dua Lipa,179.23483,0.321,0.00618,0.0,1.0,7,0.875,0.26113,4076647,-4.502
0.58,0.85,129.95,0.916,0.921,4,0.779,The Kind Of Lover I Am,4.12,0,1,12,3.15,0.0758,189.16245,37,Demi Lovato,184.34322,0.0767,0.00491,0.000839,1.0,6,0.65,0.24707,4171032,-5.453
0.514,0.411,77.793,0.681,0.225,4,0.296,Tuscan Leather,4.12,1,1,1,3.15,0.437,366.4,57,Drake,353.2858,0.236,0.114,0.0,0.994,6,0.432,4.24345,8079120,-5.4
0.662,0.566,114.339,0.414,0.056,4,0.0655,Don't Look Down,4.12,1,0,12,3.15,0.0401,97.22667,2,OneRepublic,97.22667,0.18,0.0284,0.92,1.0,2,0.323,0.0,2143848,-11.437
0.139,0.0,106.931,0.543,0.732,4,0.253,Heartbreak (feat. Ben Burgess),4.12,1,0,10,3.15,0.0352,137.94395,37,Diplo,132.37115,0.15,0.0504,0.0,1.0,9,0.701,0.12902,3041664,-7.395
0.579,0.185,129.982,0.867,0.624,4,0.134,Cha-Ching (Till We Grow Older),4.12,1,0,12,3.15,0.0388,249.49333,27,Imagine Dragons,244.85442,0.0597,0.0041,7.5e-06,0.968,7,0.516,3.00118,5501328,-6.118
0.421,0.361,87.01,0.909,0.116,4,0.547,INTRODUCTION : YOUTH,4.12,0,0,1,3.15,0.086,138.97333,33,BTS,133.61923,0.364,0.00148,0.0028,1.0,6,0.563,2.62966,3064362,-5.321
0.378,0.367,126.957,0.871,0.921,4,0.829,Waka Waka (This Time for Africa) - K-Mix,4.12,1,0,15,3.15,0.0503,183.94667,61,Shakira,174.3122,0.108,0.0116,3e-06,0.56,9,0.71,0.13388,4056024,-5.037
0.793,0.608,73.059,0.6,0.135,4,0.436,Autumn Leaves (feat. Kendrick Lamar),4.12,1,1,12,3.15,0.289,268.8,57,Chris Brown,253.06848,0.138,0.326,0.0,0.991,1,0.624,0.138,5927040,-7.935
0.511,0.436,173.136,0.663,0.124,4,0.428,Strawberry Swing,4.12,1,0,9,3.15,0.0458,249.66667,35,Coldplay,233.3083,0.191,0.00722,0.797,1.0,1,0.378,0.16268,5505150,-10.476
0.352,0.294,130.004,0.64,0.842,4,0.259,Right Now,4.12,0,1,7,3.15,0.0888,181.62666,31,Rihanna,177.28435,0.0675,0.049,0.0,1.0,3,0.668,0.09882,4004868,-5.208
0.472,0.493,135.0,0.797,0.717,4,0.425,Shoot Love,4.12,1,0,13,3.15,0.0352,189.66667,39,Maroon 5,184.52898,0.11,0.00259,0.0,1.0,8,0.595,0.26336,4182150,-5.828
0.223,0.035,110.346,0.616,0.597,4,0.32,Dull Knives,4.12,1,0,10,3.15,0.0473,213.48154,68,Imagine Dragons,206.675,0.0523,0.00255,6.38e-06,0.997,6,0.51,0.23773,4707268,-6.997
0.879,0.795,96.005,0.383,0.0,4,0.224,Invisible,4.12,1,0,32,3.15,0.0243,205.85333,33,Taylor Swift,195.04181,0.165,0.56,0.0,0.994,7,0.609,0.18558,4539066,-5.732
0.676,0.887,131.914,0.669,0.562,4,0.216,Scrape Da Pot (feat. Freaky D),4.12,0,1,22,3.15,0.0501,189.27126,21,21 Savage,189.27124,0.226,0.0023,0.0,1.0,0,0.708,0.06376,4173431,-5.705
0.508,0.585,147.043,0.552,0.588,4,0.521,Sup Mate (feat. Future),4.12,1,1,2,3.15,0.271,238.02667,57,Young Thug,234.15582,0.144,0.000786,0.286,1.0,1,0.874,0.0717,5248488,-7.951
0.592,0.607,100.998,0.836,0.842,4,0.607,Hola,4.12,0,0,12,3.15,0.0884,196.24,12,J Balvin,190.34558,0.129,0.148,0.000979,0.92,4,0.801,3.19274,4327092,-5.367
0.559,0.416,142.067,0.513,0.267,4,0.108,Dream,4.12,0,0,9,3.15,0.0492,258.0,24,Imagine Dragons,246.32889,0.069,0.643,3.24e-05,0.933,1,0.379,2.01433,5688900,-7.724
0.056,0.001,80.293,0.78,0.245,5,0.038,Empty Spaces,4.12,0,0,4,3.15,0.0701,18.33333,0,Linkin Park,18.33333,0.878,0.0174,0.9,1.0,6,0.333,0.0,404250,-16.711
0.345,0.382,119.992,0.522,0.129,4,0.659,untitled 08 | 09.06.2014.,4.12,0,0,8,3.15,0.211,235.50667,24,Kendrick Lamar,230.8644,0.112,0.253,4.09e-06,0.993,11,0.846,0.0,5192922,-9.368
0.687,0.701,96.973,0.603,0.441,4,0.619,Let It Out,4.12,1,0,1,3.15,0.0378,231.54668,44,Ed Sheeran,227.39882,0.147,0.645,0.011,1.0,8,0.731,0.99846,5105604,-7.656
0.223,0.0,154.106,0.422,0.174,4,0.529,On Fire,4.12,1,1,8,3.15,0.324,239.8,44,Young Thug,236.96544,0.279,0.26,0.0,1.0,2,0.773,0.07556,5287590,-7.242
0.702,0.884,120.002,0.792,0.808,4,0.181,Take Me Along,4.12,1,0,10,3.15,0.0374,249.32,40,Miley Cyrus,242.00998,0.152,0.00191,0.0,0.673,0,0.452,0.37728,5497506,-3.922
0.414,0.369,90.497,0.595,0.473,4,0.366,Some Type of Love,4.12,1,0,12,3.15,0.0912,187.90668,22,Charlie Puth,179.438,0.0753,0.392,0.0,1.0,2,0.702,0.25524,4143342,-6.005
0.721,0.767,140.527,0.926,0.247,3,0.559,"Death Will Never Conquer - Live in Sydney, 2009",4.12,1,0,7,3.15,0.168,99.30667,35,Coldplay,99.30666,0.966,0.639,0.133,0.281,2,0.309,0.0,2189712,-7.596
0.39,0.115,117.943,0.55,0.967,4,0.464,Blood On My Jeans,4.12,1,1,6,3.15,0.226,154.76726,76,Juice WRLD,147.5628,0.109,0.183,0.0,0.959,6,0.868,0.19156,3412618,-6.417
0.4,0.286,143.985,0.961,0.854,4,0.675,Fly on the Wall,4.12,0,0,6,3.15,0.0546,151.8,22,Miley Cyrus,145.94322,0.117,0.169,0.0,1.0,7,0.559,0.09302,3347190,-4.16
0.12,0.0,100.083,0.911,0.082,4,0.57,Bob Dylan,4.12,1,0,13,3.15,0.0425,193.02667,43,Fall Out Boy,193.02667,0.349,0.000394,0.0558,0.882,9,0.492,0.26726,4256238,-3.618
0.619,0.643,111.805,0.509,0.187,4,0.306,Aftertaste,4.12,1,0,8,3.15,0.0346,169.57333,35,Shawn Mendes,162.29587,0.0938,0.000323,0.0,0.191,1,0.637,0.18626,3739092,-5.926
0.442,0.478,140.406,0.965,0.187,4,0.157,"Great King Rat - Live At The Rainbow, London / March 1974",4.12,1,0,8,3.15,0.173,424.08,17,Queen,424.08,0.707,0.00868,0.000336,0.806,7,0.195,0.0,9350964,-5.147
0.629,0.592,100.059,0.379,0.154,4,0.551,Dear God,4.12,0,0,30,3.15,0.0645,242.42667,15,Chris Brown,238.10902,0.147,0.15,0.0,0.987,5,0.731,0.0,5345508,-8.782
0.38,0.21,105.803,0.598,0.838,4,0.565,Questions,4.12,0,0,4,3.15,0.0561,129.47781,69,Chris Brown,126.30494,0.1,0.00543,0.0,1.0,10,0.614,0.1683,2854986,-6.335
0.601,0.304,126.913,0.472,0.334,4,0.242,What Other People Say (with Sam Fischer),4.12,1,1,10,3.15,0.0396,194.8904,44,Demi Lovato,191.38467,0.12,0.155,0.0,0.931,7,0.652,0.26127,4297333,-8.084
0.441,0.566,139.639,0.738,0.202,4,0.354,Apparently - Live,4.12,1,1,12,3.15,0.218,286.10666,38,J. Cole,282.38367,0.513,0.202,2.84e-06,1.0,5,0.619,0.0,6308652,-7.559
0.499,0.418,163.128,0.583,0.375,4,0.297,X,4.12,1,0,13,3.15,0.353,173.79764,29,Lil Uzi Vert,170.18484,0.374,0.00419,0.0,1.0,8,0.615,0.0,3832238,-7.087
0.535,0.541,131.967,0.824,0.864,4,0.392,Robot,4.12,0,0,11,3.15,0.0501,223.10667,41,Miley Cyrus,218.31982,0.148,0.00171,0.00011,0.964,5,0.524,0.0,4919502,-2.984
0.31,0.45,78.027,0.728,0.093,4,0.683,Strings,4.12,0,0,7,3.15,0.0541,190.77333,45,Shawn Mendes,184.65088,0.251,0.00221,0.0,0.979,8,0.659,0.16834,4206552,-5.007
0.505,0.422,87.338,0.755,0.042,4,0.246,Choker / Stressed Out / Migraine / Morph / Holding On To You - Livestream Version,4.12,1,0,12,3.15,0.211,580.3102,55,Twenty One Pilots,571.42566,0.162,0.0206,8.26e-06,0.869,7,0.438,3.21016,12795839,-5.641
0.396,0.305,160.084,0.731,0.223,4,0.61,Black Boy Fly - Bonus Track,4.12,1,1,2,3.15,0.149,279.14667,21,Kendrick Lamar,257.43384,0.103,0.108,1.52e-06,1.0,1,0.593,0.49315,6155184,-5.21
0.476,0.426,102.913,0.859,0.142,4,0.17,Something Just like This - Live in Buenos Aires,4.12,0,0,21,3.15,0.0448,244.24,51,Coldplay,244.24,0.456,0.00072,0.000775,0.993,11,0.426,0.0,5385492,-5.866
0.323,0.211,168.064,0.907,0.54,4,0.434,"Sugar, We're Goin Down",4.12,1,0,3,3.15,0.0753,217.12,26,Fall Out Boy,217.12,0.392,0.0107,9.32e-05,0.897,7,0.384,0.0,4787496,-3.685
0.735,0.842,113.213,0.665,0.851,4,0.42,That Kind Of Woman,4.12,0,0,16,3.15,0.0325,200.10806,28,Dua Lipa,193.06232,0.22,0.0045,0.0,0.929,11,0.64,0.24485,4412383,-4.966
0.245,0.046,112.023,0.631,0.746,4,0.433,Hot (feat. Gunna),4.12,0,0,4,3.15,0.184,193.02667,45,Young Thug,182.51465,0.0691,0.0864,0.0,1.0,7,0.929,0.0,4256238,-7.419
0.624,0.71,106.98,0.952,0.481,4,0.065,"Fight Fire With Fire - Live In São Paulo, Brazil - January 31st, 2010",4.12,0,0,16,3.15,0.094,294.77573,17,Metallica,292.20572,0.376,0.000454,0.00729,0.843,1,0.298,0.0,6499805,-8.364
0.638,0.887,81.987,0.506,0.796,4,0.323,Bad Day,4.12,0,0,5,3.15,0.0431,145.68,40,Justin Bieber,129.0565,0.237,0.0186,0.0,1.0,11,0.663,0.0927,3212244,-6.755
0.68,0.654,132.113,0.684,0.504,4,0.295,Saint-Tropez,4.12,1,1,2,3.15,0.0439,150.86667,74,Post Malone,147.26096,0.104,0.0545,0.0,0.422,0,0.617,0.0,3326610,-3.618
0.576,0.532,171.868,0.705,0.275,4,0.133,Ki (feat. Daniel Habif),4.12,0,0,1,3.15,0.13,210.0,52,Farruko,203.83636,0.225,0.384,0.0,0.975,10,0.494,0.11905,4630500,-4.487
0.32,0.423,98.019,0.929,0.301,4,0.664,Sad But True,4.12,1,0,13,3.15,0.0358,243.38667,26,Metallica,238.0742,0.0695,4.96e-05,0.198,1.0,0,0.475,0.22626,5366676,-4.456
0.407,0.163,119.919,0.594,0.248,4,0.25,Sad Girl,4.12,0,0,6,3.15,0.038,317.7604,0,Lana Del Rey,299.90314,0.119,0.545,0.0323,0.978,2,0.403,0.17995,7006617,-8.353
